,subtitle,include
1,Shut up 15 year-old
2,Lol. Build your own or make some tweaks to the printer.
3,What makes you say that?
4,Go play Farmville if you can't keep it up.
5,Disgusting!!! Where were the adults? The adults probably felt proud of their sons.
6,Ah yes, the poison. The worst part of evrery poisoning
7,Cus the left doesn't give a shit about people who fought for the USA!
8,I want to like R&M but people are making it really difficult
9,He is going to hate 2019
10,Then I will be accused of being a racist
11,This is the worst I've ever seen. It really is
12,Just shut up dude
13,You shut your mouth. shut it right now. *sobbing uncontrollably
14,How dare they not have the foresight to realize he'll become a president we don't like decades later.
15,I hate that myself
16,Hello
17,Honestly, State and Revolution is what made me ananarchist.
18,I kill him before he kills me during the date
19,Rest can be so damn broken.
20,This is a toxic behaviour.. get rid of him as soon as possible.
21,Yeah. She kills herself, but by accident.
22,What rights do men have that women don't in the west?
23,Stay away from her kids!
24,Lies, damn lies and statistics.
25,I'll kill you if you do that again
26,HOW DARE YOU!!
27,Because you can totally decide what's harrasing and what isn't for other people.
28,this is bad
29,Who the hell thinks he is not overpaid
30,Another trendy communist that doesn't know what communism is.
31,THIS MADE ME CRY
32,Your company sucks.
33,I want someone to just spoil every remaining elimination for them.
34,Yeeesss...... let the anger flow through you...
35,Absolutely horrible.
36,Shut up and stop trolling. You're not funny
37,What's worse is getting in a car that isn't yours
38,That edge just got fire polished.
39,Any rap song because I hate it
40,U mad?
41,Yeah, empathy, a hell of a drug
42,So many softies dude.
43,Stupid science
44,That's one vicious cat.
45,That was brutal.
46,No I don't, but I'm assuming they are true for arguments sake Why is more stress relevant or bad?
47,Have you had no withdrawal symptoms? Did you quit cold turkey?
48,please stop pointing your fingers in my face
49,Shh. don't spoil it for us
50,Right? It was frustrating that he used such bad reasoning when his job is to curb phishing
51,I'm starving here.
52,You are so fast
53,Get out now!
54,You don't know what fact is?
55,Fight me coward!
56,Beat my second wife cuz obviously she put the evil eye on my first wife
57,The best way is killing people that don't know you. Also you could steal some things so the cops think it was a robbery
58,Sure let's leave a bomb outside a secondary school
59,She's a moron for running out in traffic. Deserved all she got.
60,How dare you care about your physical and mental health
61,No one loves you. Cry more.
62,Nope...this master criminal knew!
63,I do remember this and wanted nothing more than to kill that guy
64,Stupidly stubborn
65,So true it hurts.
66,What the hell was that
67,Dumb people. Poor person. The wolf was the only one who wanted to help!
68,Stop doing weird things
69,that dude steals so many tweets. i hate him
70,Worst president ever.
71,This looks like an obvious joke to me. Most of you are getting baited.
72,You fool! Now look what you've unleashed!
73,Get out of my head.
74,This was a hate crime. Cut and dried.
75,You literally don't know what you're talking about.
76,Just because you would laugh, doesn't mean that the guy in the video would.
77,Especially from the media that literally hates these players.
78,look at that gym! Id kill to have one with such a nice view
79,BUT I STILL HAD ALL THEEEEEESE
80,That last paragraph before the edit lmao. So fake it hurts.
81,I hate Twitter
82,Stop laughing at me.
83,Stop spraying chemicals daily in the sky.
84,HOW DARE YOU!!
85,I hated doing group work. Unless groups were assigned I always went by myself.
86,WHAT A DISGUSTING START
87,This could be me without medication. My baby won't sleep unless I hold her right now.
88,Tortilla chips are the worst oh my lord. One time a piece got lodged between my gum and my tooth.
89,My girlfriend barely tolerates me showering in the morning, she'd be furious if I'd let an alarm ring while I'm away.
90,That looks so corrupt... 
91,What the hell kind of university schedules a class at 6am?
92,It's alright. It is just an unpleasant memory now. Kind of rude of your brother though!
93,Really bad trap if noone falls for it
94,"If people complain about that, maybe that's a problem�?"
95,"Stop, your hurting me!"
96,Then the kids stole my entire house
97,i curse you
98,You didn't need to split this into two posts...
99,just ban everything!
100,"The sun in his eyes makes him look pissed, like he and the ducks had some personal history."
101,That game hurt.
102,That is odd.
103,BUT IT'S HER TURN! /s
104,that's adorable
105,Build a wall? 
106,"I appreciate it, that's good to know. I hope I'll have to apply that knowledge one day"
107,Pretty much every Punjabi dude I've met.
108,This video doesn't even show the shoes he was wearing
109,You may die, but it's a sacrifice that I'm willing to make
110,Yup, not anymore. Keep your blood sugar up! It really helps and DRINK water
111,nice!! I'll try this one
112,Go troll elsewhere. This woman needs support, not cross questions.
113,Just rumors online, it most likely won't happen
114,Pity. I had some decent lunches there, but never went there at night.
115,By far the coolest thing I've seen on this thread yet
116,Sending love and strength vibes
117,Not knowing what it is, for one thing.
118,Thanks for the info mate, gonna watch out next time
119,Honestly at this point I don't think there's anything that will make me feel better. Maybe down the road, but right now nothing is helping.
120,Me too! First time in a couple of years!
121,Thanks, it was no effort at all.
122,Ironic. He could save others from secrecy-enabled corruption, but not himself.
123,Nice. I'll look around for it. Thanks!
124,I love this woman.
125,You should dm her and say I'm sorry
126,It doesn't matter. You can pick someone with the #1 Pick that will never be any good
127,This is kinda cute
128,10 life hacks you didn't know you needed in your life
129,Calm down.
130,That's why it's not just 20 dollars
131,Agree. Keep trying, then if your rejected every time. I'm sorry your done.
132,What? The claim is 2018 best shooters. Not overall best shooters
133,Let go or you will be dragged
134,Of course he will lie cheat and steal to make him self relevant to the public. Horrible person.
135,She wants to connect, alright. With your wallet.
136,Nice! You and her would get along i bet. She loves her crafty machines and creative people.
137,Don't try and tell me how to defend
138,Be ready to Experience Canes Hockey
139,shockingly close to reality.
140,I love that smile of his!!!!
141,But stupid is the only correct word.
142,Love that car
143,Great for him to admit it. Not many people are that humble
144,You okay?
145,Thankyou
146,Thank you for being willing to learn
147,You should eat real cake today too!
148,Can you link the apologies? Or do they not actually exist?
149,Now you ruined the surprise!
150,Think you mean this Labour MP
151,How many kids do you see?
152,Funny, the right only seems to say this about women and people of color
153,I can't believe he got it while getting man-handled by two players!!
154,I have already, what's your point?
155,Gotta eliminate the competition. It's Just Good Business.
156,Umm... I do it everyday since I was 13 and I am fine
157,Yeah, I read that the first time. Nobody is forcing you, other than yourself.
158,Then YOU go right ahead...support and guide him.
159,Got it! Thank you!
160,the people must be warned.
161,Lol I hate this too!
162,You're welcome 
163,Allow me to describe the shock and awe I experienced seeing this
164,Be careful with the Washington Times. It's not exactly the Washington Post.
165,The possibilities are fascinating. In other times, I'd be enjoying watching the lawyers argue...!
166,is a recent article interesting read.
167,"Sure but what are you basing that of? If is the best jump-ball receiver, wouldn't that make him the best red zone receiver?"
168,by the same person even
169,Sorry just seemed like you are trying to make it a thing
170,Iq designed by the military to see who would be the best pencil pusher subordinates
171,People who hate jack really really hate him. It is quite fascinating.
172,RTD lines are free in Denver tonight. Stay safe.
173,Terrifyingly accurate bot
174,This is the most pleasant debate I have ever had
175,If you're in the Bay Area check out Flying Over Walls.
176,We all lose it too fast from time to time...but you have to make up for it. Hope it gets better.
177,feel like I literally saw this last week, these reposts are getting adventurous lads
178,Thank you for your open mind. Stay strong, fight the good fight, and stay educated.
179,This is why you play runescape as a kid, it teaches how to trust no one that offers free rune plate trimming
180,lol. I eat what I want.
181,Drunk and crying in bed with my pets.
182,Especially with the way they got rid of him... no real fanfare at all
183,I unfortunately can not afford a lawyer. Luckily the only thing that we shared is our daughter
184,Makes me sad I'll never be with a beautiful woman.
185,What makes you say that?
186,Second, you accuse everyone who didn't ignore you of being a Russian propaganda poster
187,What a rollercoaster
188,I love democracy.
189,I love these blobs, would have done the same thing
190,Weird how the cops can pick and choose which laws to enforce and when, but I guess that explains a lot.
191,It's not collapsing
192,And This is for shooting down police helicopters
193,nothing but a scratch
194,Or perhaps we should look at the bigger problem: mental healthcare in the United States.
195,No worries! Hope you enjoy it as much as I have!
196,And only $300+ a night, beautiful but expensive.
197,I'll add to this: be prepared to not get closure or questions answered. This is the hardest lesson I had with my break up.
198,Thanks for contributing to the advertising
199,Don't want to talk about it?
200,Hand ur phone to a buddy and let them send the text asking her out. 
